iter	Passed	Remaining
198	1454	5855
199	1460	5842
200	1467	5833
201	1474	5824
202	1481	5815
203	1487	5805
204	1494	5796
205	1501	5786
206	1509	5784
207	1517	5777
208	1525	5774
209	1532	5766
210	1539	5757
211	1546	5748
212	1553	5740
213	1560	5732
214	1568	5725
215	1575	5716
216	1582	5710
217	1589	5701
218	1596	5694
219	1603	5685
220	1610	5678
221	1618	5671
222	1625	5663
223	1632	5655
224	1639	5647
225	1646	5638
226	1653	5631
227	1660	5623
228	1668	5616
229	1675	5608
230	1682	5601
231	1690	5596
232	1697	5588
233	1707	5590
234	1714	5582
235	1722	5576
236	1731	5573
237	1738	5565
238	1745	5556
239	1751	5547
240	1758	5538
241	1764	5527
242	1770	5515
243	1777	5506
244	1782	5493
245	1788	5482
246	1794	5470
247	1800	5460
248	1808	5453
249	1814	5444
250	1821	5435
251	1828	5427
252	1835	5419
253	1841	5409
254	1849	5402
255	1855	5392
256	1864	5389
257	1870	5378
258	1875	5366
259	1881	5355
260	1887	5345
261	1894	5337
262	1901	5328
263	1909	5322
264	1917	5317
265	1926	5314
266	1932	5306
267	1940	5299
268	1948	5293
269	1954	5284
270	1962	5278
271	1969	5271
272	1976	5264
273	1984	5258
274	1991	5251
275	1998	5243
276	2005	5234
277	2012	5227
278	2019	5219
279	2027	5213
280	2037	5212
281	2043	5204
282	2050	5194
283	2057	5187
284	2065	5180
285	2071	5171
286	2079	5165
287	2086	5158
288	2093	5150
289	2100	5142
290	2109	5140
291	2118	5136
292	2125	5129
293	2133	5122
294	2141	5118
295	2149	5111
296	2155	5101
297	2160	5090
298	2166	5079
299	2172	5069
300	2178	5058
301	2185	5052
302	2193	5045
303	2200	5038
304	2208	5031
305	2216	5026
306	2223	5019
307	2230	5011
308	2237	5003
309	2245	4997
310	2252	4990
311	2260	4983
312	2267	4976
313	2274	4968
314	2282	4963
315	2290	4957
316	2298	4952
317	2307	4948
318	2315	4944
319	2323	4938
320	2332	4932
321	2339	4926
322	2347	4919
323	2355	4913
324	2362	4906
325	2372	4905
326	2379	4898
327	2387	4890
328	2394	4883
329	2402	4876
330	2408	4868
331	2416	4862
332	2424	4856
333	2431	4849
334	2440	4844
335	2447	4836
336	2454	4829
337	2462	4822
338	2469	4814
339	2476	4807
340	2483	4798
341	2490	4792
342	2499	4787
343	2507	4780
344	2513	4772
345	2519	4763
346	2525	4752
347	2531	4743
348	2537	4733
349	2543	4723
350	2549	4713
351	2557	4707
352	2564	4700
353	2571	4692
354	2578	4685
355	2584	4676
356	2590	4666
357	2596	4656
358	2602	4647
359	2608	4637
360	2614	4628
361	2622	4622
362	2630	4615
363	2636	4607
364	2643	4599
365	2650	4591
366	2657	4583
367	2664	4575
368	2671	4567
369	2678	4560
370	2685	4552
371	2692	4544
372	2702	4543
373	2709	4535
374	2716	4527
375	2723	4519
376	2730	4512
377	2736	4503
378	2743	4495
379	2750	4487
380	2757	4479
381	2764	4472
382	2771	4464
383	2777	4456
384	2784	4448
385	2791	4440
386	2798	4432
387	2805	4424
388	2902	4558
389	2913	4556
390	2919	4547
391	2927	4540
392	2935	4533
393	2941	4524
394	2949	4516
395	2956	4509
396	2963	4500
397	2969	4492
398	2976	4482
399	2983	4475
400	2990	4467
401	2996	4456
402	3002	4448
403	3009	4440
404	3015	4430
405	3024	4424
406	3030	4415
407	3037	4407
408	3044	4399
409	3051	4391
410	3058	4383
411	3066	4376
412	3073	4368
413	3080	4360
414	3087	4352
415	3094	4343
416	3099	4333
417	3106	4325
418	3113	4317
419	3120	4308
420	3125	4299
421	3132	4290
422	3140	4284
423	3147	4276
424	3154	4268
425	3161	4260
426	3168	4252
427	3175	4243
428	3182	4236
429	3189	4228
430	3196	4220
431	3203	4211
432	3210	4203
433	3216	4195
434	3223	4186
435	3230	4178
436	3237	4170
437	3245	4164
438	3252	4156
439	3260	4149
440	3266	4141
441	3273	4133
442	3280	4124
443	3288	4117
444	3294	4108
445	3301	4101
446	3309	4094
447	3316	4086
448	3323	4078
449	3330	4070
450	3337	4062
451	3344	4054
452	3353	4049
453	3360	4041
454	3367	4033
455	3373	4025
456	3381	4017
457	3388	4009
458	3395	4001
459	3402	3994
460	3408	3985
461	3415	3977
462	3422	3969
463	3429	3961
464	3437	3955
465	3444	3947
466	3452	3940
467	3459	3933
468	3466	3924
469	3473	3916
470	3480	3908
471	3487	3901
472	3494	3893
473	3501	3885
474	3507	3877
475	3515	3869
476	3521	3861
477	3529	3853
478	3535	3845
479	3542	3838
480	3548	3829
481	3555	3821
482	3562	3813
483	3569	3806
484	3576	3797
485	3583	3789
486	3590	3781
487	3597	3774
488	3604	3766
489	3611	3758
490	3618	3750
491	3624	3742
492	3632	3735
493	3639	3727
494	3647	3721
495	3654	3713
496	3661	3705
497	3669	3699
498	3677	3691
499	3687	3687
500	3694	3679
501	3702	3672
502	3709	3665
503	3716	3657
504	3723	3649
505	3730	3641
506	3737	3634
507	3745	3627
508	3751	3619
509	3759	3612
510	3766	3604
511	3774	3597
512	3781	3589
513	3788	3581
514	3795	3574
515	3802	3566
516	3808	3558
517	3815	3550
518	3823	3543
519	3830	3535
520	3839	3529
521	3845	3521
522	3852	3513
523	3859	3505
524	3867	3498
525	3873	3490
526	3880	3483
527	3887	3475
528	3896	3469
529	3905	3463
530	3913	3456
531	3922	3450
532	3929	3443
533	3937	3435
534	3944	3428
535	3951	3420
536	3958	3412
537	3965	3405
538	3972	3397
539	3979	3390
540	3987	3382
541	3995	3376
542	4002	3368
543	4010	3361
544	4020	3356
545	4028	3349
546	4036	3342
547	4044	3335
548	4051	3328
549	4058	3320
550	4066	3313
551	4073	3305
552	4080	3298
553	4088	3291
554	4095	3283
555	4102	3276
556	4110	3268
557	4115	3260
558	4122	3252
559	4130	3245
560	4137	3237
561	4144	3229
562	4150	3221
563	4156	3213
564	4162	3204
565	4168	3196
566	4174	3187
567	4179	3178
568	4186	3171
569	4193	3163
570	4202	3157
571	4210	3150
572	4217	3142
573	4226	3136
574	4233	3129
575	4241	3121
576	4248	3114
577	4256	3107
578	4263	3100
579	4270	3092
580	4277	3084
581	4284	3077
582	4291	3069
583	4298	3061
584	4305	3054
585	4312	3046
586	4317	3037
587	4324	3030
588	4331	3022
589	4338	3015
590	4346	3007
591	4355	3001
592	4362	2994
593	4370	2986
594	4376	2979
595	4383	2971
596	4390	2963
597	4396	2955
598	4404	2948
599	4412	2941
600	4420	2934
601	4427	2927
602	4433	2919
603	4440	2911
604	4447	2903
605	4454	2896
606	4461	2888
607	4470	2882
608	4479	2876
609	4488	2869
610	4496	2862
611	4503	2854
612	4511	2848
613	4517	2839
614	4524	2832
615	4531	2824
616	4538	2817
617	4545	2809
618	4552	2802
619	4559	2794
620	4566	2786
621	4572	2778
622	4579	2771
623	4586	2763
624	4593	2755
625	4601	2748
626	4608	2741
627	4616	2734
628	4623	2727
629	4630	2719
630	4637	2711
631	4645	2705
632	4653	2697
633	4659	2690
634	4666	2682
635	4674	2675
636	4683	2668
637	4690	2661
638	4697	2653
639	4703	2645
640	4710	2638
641	4717	2630
642	4724	2622
643	4730	2615
644	4737	2607
645	4745	2600
646	4752	2592
647	4759	2585
648	4767	2578
649	4774	2570
650	4782	2563
651	4790	2556
652	4797	2549
653	4806	2542
654	4813	2535
655	4821	2528
656	4828	2520
657	4835	2513
658	4842	2505
659	4850	2498
660	4857	2491
661	4865	2484
662	4872	2476
663	4880	2469
664	4887	2462
665	4894	2454
666	4903	2447
667	4911	2440
668	4919	2433
669	4926	2426
670	4933	2419
671	4941	2411
672	4949	2404
673	4956	2397
674	4964	2390
675	4973	2383
676	4981	2376
677	4991	2370
678	5000	2363
679	5007	2356
680	5017	2350
681	5024	2342
682	5031	2335
683	5038	2327
684	5046	2320
685	5053	2313
686	5061	2305
687	5067	2298
688	5074	2290
689	5082	2283
690	5089	2276
691	5097	2268
692	5105	2261
693	5112	2254
694	5120	2247
695	5128	2239
696	5137	2233
697	5144	2225
698	5151	2218
699	5159	2211
700	5167	2204
701	5175	2196
702	5184	2190
703	5192	2183
704	5201	2176
705	5208	2169
706	5215	2161
707	5222	2153
708	5230	2146
709	5237	2139
710	5245	2132
711	5253	2125
712	5261	2117
713	5269	2110
714	5275	2102
715	5280	2094
716	5286	2086
717	5291	2078
718	5297	2070
719	5303	2062
720	5312	2055
721	5319	2048
722	5326	2040
723	5333	2033
724	5340	2025
725	5351	2019
726	5358	2012
727	5365	2004
728	5373	1997
729	5382	1990
730	5391	1983
731	5399	1976
732	5407	1969
733	5415	1962
734	5424	1955
735	5432	1948
736	5439	1941
737	5447	1934
738	5456	1927
739	5463	1919
740	5472	1912
741	5480	1905
742	5487	1898
743	5498	1891
744	5506	1884
745	5514	1877
746	5521	1870
747	5529	1862
748	5536	1855
749	5543	1847
750	5551	1840
751	5558	1833
752	5565	1825
753	5573	1818
754	5580	1810
755	5586	1803
756	5592	1795
757	5598	1787
758	5604	1779
759	5612	1772
760	5619	1764
761	5626	1757
762	5633	1749
763	5642	1743
764	5649	1735
765	5657	1728
766	5665	1721
767	5671	1713
768	5678	1705
769	5688	1699
770	5695	1691
771	5702	1684
772	5709	1676
773	5717	1669
774	5724	1662
775	5732	1654
776	5739	1647
777	5747	1639
778	5754	1632
779	5762	1625
780	5770	1618
781	5777	1610
782	5785	1603
783	5794	1596
784	5802	1589
785	5810	1581
786	5819	1574
787	5827	1567
788	5834	1560
789	5841	1552
790	5848	1545
791	5855	1537
792	5862	1530
793	5869	1522
794	5876	1515
795	5882	1507
796	5889	1500
797	5894	1492
798	5901	1484
799	5908	1477
800	5914	1469
801	5922	1462
802	5928	1454
803	5935	1447
804	5942	1439
805	5949	1432
806	5957	1424
807	5965	1417
808	5973	1410
809	5981	1403
810	5988	1395
811	5994	1387
812	6001	1380
813	6008	1373
814	6018	1366
815	6025	1358
816	6032	1351
817	6039	1343
818	6046	1336
819	6053	1328
820	6060	1321
821	6067	1313
822	6074	1306
823	6081	1298
824	6088	1291
825	6096	1284
826	6103	1276
827	6111	1269
828	6118	1261
829	6124	1254
830	6130	1246
831	6136	1239
832	6143	1231
833	6149	1224
834	6157	1216
835	6165	1209
836	6173	1202
837	6179	1194
838	6186	1187
839	6194	1179
840	6201	1172
841	6208	1164
842	6215	1157
843	6223	1150
844	6230	1142
845	6239	1135
846	6246	1128
847	6253	1120
848	6259	1113
849	6267	1106
850	6274	1098
851	6283	1091
852	6290	1083
853	6297	1076
854	6304	1069
855	6312	1061
856	6318	1054
857	6326	1047
858	6334	1039
859	6341	1032
860	6352	1025
861	6359	1018
862	6366	1010
863	6373	1003
864	6380	995
865	6386	988
866	6393	980
867	6399	973
868	6406	965
869	6413	958
870	6420	950
871	6426	943
872	6433	935
873	6440	928
874	6446	920
875	6454	913
876	6459	906
877	6467	898
878	6473	891
879	6482	883
880	6489	876
881	6496	869
882	6502	861
883	6509	854
884	6516	846
885	6523	839
886	6531	832
887	6538	824
888	6546	817
889	6553	810
890	6560	802
891	6567	795
892	6575	787
893	6582	780
894	6589	773
895	6596	765
896	6603	758
897	6610	750
898	6703	753
899	6715	746
900	6723	738
901	6730	731
902	6739	723
903	6745	716
904	6753	708
905	6760	701
906	6769	694
907	6777	686
908	6784	679
909	6792	671
910	6800	664
911	6806	656
912	6813	649
913	6820	641
914	6827	634
915	6835	626
916	6841	619
917	6848	611
918	6855	604
919	6863	596
920	6871	589
921	6878	581
922	6885	574
923	6892	566
924	6899	559
925	6907	552
926	6915	544
927	6922	537
928	6930	529
929	6937	522
930	6943	514
931	6950	507
932	6957	499
933	6964	492
934	6971	484
935	6978	477
936	6985	469
937	6991	462
938	7000	454
939	7008	447
940	7016	439
941	7023	432
942	7030	424
943	7036	417
944	7044	409
945	7051	402
946	7057	395
947	7064	387
948	7072	380
949	7079	372
950	7085	365
951	7093	357
952	7100	350
953	7109	342
954	7116	335
955	7123	327
956	7130	320
957	7137	312
958	7144	305
959	7151	297
960	7158	290
961	7165	283
962	7172	275
963	7178	268
964	7185	260
965	7192	253
966	7199	245
967	7206	238
968	7213	230
969	7220	223
970	7227	215
971	7233	208
972	7239	200
973	7245	193
974	7251	185
975	7256	178
976	7262	170
977	7268	163
978	7274	156
979	7282	148
980	7290	141
981	7297	133
982	7305	126
983	7313	118
984	7320	111
985	7327	104
986	7337	96
987	7344	89
988	7352	81
989	7358	74
990	7364	66
991	7370	59
992	7376	52
993	7382	44
994	7389	37
995	7395	29
996	7402	22
997	7410	14
998	7416	7
999	7423	0
