iter	RMSE
211	3.437976456
212	3.435834616
213	3.43423813
214	3.431795362
215	3.430542431
216	3.428279141
217	3.426130488
218	3.42393218
219	3.422844249
220	3.419732983
221	3.417608443
222	3.415648678
223	3.414033576
224	3.411669956
225	3.409487461
226	3.407534354
227	3.405022991
228	3.402789462
229	3.401640788
230	3.40052775
231	3.398181673
232	3.395660834
233	3.39394693
234	3.392083349
235	3.390150636
236	3.388629348
237	3.386718403
238	3.384617643
239	3.383138951
240	3.380462027
241	3.379397261
242	3.377260508
243	3.375683778
244	3.374515928
245	3.372794861
246	3.371044685
247	3.369787874
248	3.367488
249	3.366543325
250	3.365407701
251	3.363667137
252	3.361656403
253	3.360319989
254	3.358233015
255	3.356546862
256	3.354523509
257	3.352199202
258	3.351144907
259	3.348938917
260	3.344752585
261	3.342568827
262	3.341679772
263	3.339487724
264	3.336983185
265	3.334523015
266	3.33310723
267	3.331515704
268	3.329927167
269	3.328538387
270	3.326368806
271	3.325454673
272	3.323581526
273	3.321216502
274	3.318378695
275	3.3169064
276	3.316018415
277	3.314922635
278	3.313342146
279	3.311511503
280	3.309859797
281	3.30773599
282	3.306804737
283	3.305199172
284	3.303597821
285	3.302487642
286	3.299655619
287	3.296752601
288	3.295315927
289	3.292647227
290	3.290704116
291	3.289612147
292	3.288364277
293	3.286606805
294	3.285061604
295	3.283950312
296	3.282265249
297	3.281466515
298	3.27994113
299	3.277600358
300	3.276039329
301	3.275082935
302	3.273702769
303	3.272222075
304	3.270492526
305	3.269112974
306	3.26802959
307	3.266948993
308	3.264983156
309	3.264287028
310	3.262945356
311	3.262290826
312	3.260823047
313	3.25887961
314	3.257006711
315	3.255364148
316	3.254560102
317	3.253035118
318	3.251318251
319	3.249409991
320	3.247563661
321	3.246209719
322	3.24449162
323	3.242958819
324	3.24105488
325	3.239376801
326	3.238409406
327	3.236630987
328	3.235402034
329	3.233652098
330	3.23304239
331	3.231371946
332	3.229982801
333	3.229080112
334	3.227901416
335	3.226037059
336	3.225413058
337	3.224321293
338	3.222784554
339	3.220601821
340	3.219724413
341	3.218758112
342	3.217382879
343	3.216136962
344	3.21538445
345	3.213236718
346	3.21201866
347	3.210682226
348	3.208739541
349	3.207425374
350	3.206035142
351	3.204495519
352	3.202365268
353	3.200989861
354	3.199333952
355	3.198207185
356	3.197323415
357	3.196143705
358	3.194442456
359	3.192567778
360	3.191554164
361	3.19047126
362	3.1891128
363	3.187941447
364	3.186764046
365	3.185003062
366	3.183708962
367	3.182516022
368	3.181818262
369	3.180571284
370	3.180142242
371	3.179104068
372	3.178013765
373	3.175562582
374	3.174716459
375	3.17383146
376	3.171789853
377	3.170533829
378	3.168839694
379	3.167525517
380	3.16627436
381	3.16480373
382	3.163589441
383	3.163242219
384	3.162013239
385	3.160453156
386	3.158316201
387	3.157629889
388	3.155970479
389	3.155131036
390	3.155116082
391	3.153019498
392	3.151668983
393	3.150336674
394	3.149457609
395	3.148227975
396	3.147231961
397	3.145699813
398	3.144967106
399	3.143428008
400	3.142222553
401	3.142208044
402	3.141058106
403	3.139342748
404	3.13914277
405	3.138282718
406	3.136752127
407	3.135681065
408	3.134060211
409	3.134046586
410	3.132678059
411	3.131515605
412	3.130754737
413	3.129153533
414	3.128534604
415	3.12797987
416	3.127941968
417	3.127027141
418	3.125639355
419	3.124081566
420	3.124066704
421	3.122491338
422	3.121189853
423	3.120474304
424	3.11935348
425	3.118599022
426	3.11630319
427	3.11535163
428	3.114298221
429	3.112865881
430	3.111247327
431	3.109264938
432	3.108760792
433	3.107498016
434	3.106251413
435	3.104722928
436	3.103296473
437	3.102416895
438	3.101216196
439	3.099744331
440	3.098092444
441	3.096488942
442	3.094840059
443	3.09395347
444	3.093548305
445	3.092106694
446	3.091118803
447	3.089706946
448	3.088568855
449	3.088105393
450	3.086965093
451	3.085650924
452	3.084584387
453	3.083587264
454	3.082239838
455	3.081284563
456	3.079526832
457	3.077963004
458	3.076710705
459	3.075015982
460	3.073789044
461	3.072283092
462	3.070934551
463	3.070167624
464	3.069004532
465	3.068094917
466	3.067715397
467	3.066213815
468	3.065138209
469	3.063519898
470	3.062840779
471	3.061448966
472	3.060359548
473	3.059099902
474	3.05799787
475	3.056417751
476	3.055711912
477	3.053430803
478	3.052571498
479	3.05148694
480	3.051189519
481	3.049920539
482	3.04887015
483	3.047211348
484	3.046448074
485	3.045233308
486	3.04385643
487	3.042461105
488	3.04105936
489	3.039779528
490	3.038689133
491	3.038122512
492	3.037446081
493	3.036552152
494	3.035634165
495	3.034973372
496	3.033877962
497	3.033099893
498	3.032104867
499	3.030901008
500	3.029991689
501	3.028816811
502	3.027157584
503	3.025867332
504	3.025175665
505	3.024196739
506	3.023086329
507	3.021390337
508	3.020647904
509	3.018802594
510	3.017812544
511	3.016276745
512	3.015157953
513	3.013360514
514	3.01188947
515	3.01099657
516	3.010094385
517	3.009079907
518	3.008437697
519	3.00720135
520	3.005902625
521	3.005391761
522	3.004709644
523	3.003371267
524	3.001895486
525	3.000859158
526	2.999449974
527	2.998027423
528	2.996597125
529	2.995821986
530	2.994440499
531	2.992995009
532	2.992133873
533	2.991035159
534	2.990011399
535	2.989365346
536	2.988137024
537	2.987410995
538	2.985888126
539	2.984933642
540	2.98394738
541	2.983057619
542	2.982007117
543	2.981688778
544	2.981194395
545	2.980190742
546	2.979166084
547	2.978398261
548	2.977295341
549	2.97621958
550	2.975142641
551	2.974089554
552	2.97319979
553	2.972395124
554	2.97142988
555	2.970174987
556	2.969175047
557	2.969165098
558	2.96747377
559	2.966699306
560	2.965340667
561	2.964621752
562	2.963235132
563	2.962534062
564	2.961369575
565	2.960409353
566	2.95996598
567	2.959576711
568	2.958375731
569	2.957840937
570	2.955345249
571	2.954873137
572	2.954258511
573	2.952842736
574	2.951943057
575	2.950393251
576	2.95022986
577	2.949077318
578	2.949067806
579	2.948137957
580	2.947211522
581	2.946843199
582	2.946160636
583	2.945187836
584	2.94406932
585	2.943437748
586	2.943413376
587	2.942562051
588	2.941786787
589	2.940592498
590	2.939385261
591	2.938708656
592	2.938267061
593	2.93673456
594	2.936112962
595	2.935583451
596	2.93404562
597	2.934034823
598	2.93328606
599	2.932446473
600	2.931191026
601	2.93078021
602	2.929808266
603	2.928729057
604	2.92760023
605	2.926839168
606	2.92577363
607	2.924667771
608	2.92335686
609	2.922166929
610	2.921703359
611	2.921054743
612	2.919786066
613	2.919198207
614	2.917370791
615	2.916026842
616	2.915587157
617	2.914922092
618	2.913586771
619	2.913187849
620	2.911728917
621	2.911063218
622	2.909750013
623	2.90873512
624	2.907878563
625	2.906931193
626	2.905021046
627	2.904164579
628	2.903483135
629	2.901812032
630	2.900440074
631	2.900196419
632	2.899291053
633	2.898680031
634	2.897436094
635	2.896479911
636	2.895244634
637	2.89441867
638	2.893222948
639	2.892678312
640	2.891640357
641	2.890916939
642	2.890015148
643	2.888755147
644	2.887847782
645	2.886948771
646	2.886930429
647	2.886225989
648	2.885208669
649	2.884293804
650	2.883178238
651	2.882426456
652	2.882027157
653	2.881235751
654	2.880168345
655	2.879218424
656	2.878791654
657	2.87843063
658	2.877587792
659	2.876362442
660	2.87581399
661	2.874527103
662	2.874162846
663	2.873037056
664	2.871794429
665	2.87056263
666	2.869703739
667	2.868899687
668	2.868358349
669	2.867404844
670	2.866736356
671	2.866095309
672	2.864696178
673	2.864408911
674	2.863434562
675	2.86267777
676	2.862012356
677	2.861300863
678	2.861021921
679	2.859955842
680	2.859002493
681	2.858226876
682	2.857434251
683	2.856423581
684	2.855420377
685	2.855223287
686	2.854387907
687	2.853973373
688	2.853089507
689	2.852220003
690	2.851317428
691	2.850457399
692	2.849495872
693	2.848684925
694	2.847918529
695	2.846946778
696	2.846010887
697	2.845160371
698	2.844343107
699	2.843929532
700	2.843094288
701	2.842158597
702	2.840979101
703	2.840212612
704	2.839088503
705	2.838542456
706	2.838023671
707	2.83720066
708	2.836322585
709	2.835368982
710	2.834479879
711	2.833225861
712	2.832869906
713	2.831766676
714	2.831190479
715	2.829945759
716	2.829368184
717	2.829133761
718	2.828531792
719	2.828353234
720	2.82759437
721	2.827582669
722	2.827083377
723	2.82617707
724	2.825630233
725	2.823173462
726	2.822365714
727	2.821651018
728	2.821006678
729	2.819787145
730	2.819166672
731	2.818455768
732	2.817922261
733	2.817174294
734	2.816783638
735	2.816444023
736	2.815651018
737	2.814954025
738	2.813973352
739	2.813272419
740	2.812553027
741	2.812004073
742	2.811171052
743	2.810335891
744	2.809924675
745	2.809242541
746	2.808060389
747	2.80716406
748	2.806843409
749	2.805948961
750	2.805599044
751	2.804993178
752	2.804049177
753	2.803800488
754	2.80323148
755	2.802753192
756	2.802500819
757	2.80172261
758	2.801370958
759	2.800668371
760	2.799362769
761	2.798280225
762	2.798087304
763	2.797376741
764	2.797099016
765	2.796291769
766	2.79596529
767	2.795954072
768	2.795521434
769	2.794798433
770	2.794212705
771	2.79330679
772	2.792892327
773	2.792409416
774	2.79223858
775	2.791268701
776	2.790726379
777	2.789499563
778	2.788873657
779	2.788283931
780	2.787257976
781	2.786533127
782	2.786235248
783	2.7858436
784	2.784990374
785	2.783901986
786	2.78323572
787	2.782434372
788	2.782023428
789	2.780715223
790	2.779765941
791	2.779178277
792	2.778423105
793	2.777868563
794	2.777196126
795	2.77637279
796	2.775627363
797	2.775611464
798	2.774816468
799	2.774149529
800	2.773727608
801	2.772951866
802	2.772558566
803	2.771847093
804	2.770717514
805	2.769128871
806	2.76854369
807	2.767832243
808	2.766805205
809	2.765968592
810	2.764730609
811	2.764598922
812	2.763526183
813	2.762902921
814	2.76217417
815	2.761413195
816	2.760615324
817	2.75992208
818	2.75943638
819	2.758672521
820	2.757678932
821	2.756874194
822	2.756020205
823	2.755076636
824	2.754624766
825	2.754228676
826	2.753244003
827	2.752700361
828	2.751916568
829	2.751638245
830	2.750829035
831	2.750135092
832	2.749565843
833	2.748312582
834	2.747958853
835	2.747379035
836	2.74680884
837	2.746646953
838	2.745221448
839	2.744530072
840	2.744161911
841	2.743634983
842	2.743185082
843	2.742167442
844	2.741097292
845	2.740272008
846	2.739566568
847	2.738724572
848	2.738711169
849	2.738091358
850	2.737361987
851	2.736483775
852	2.735878293
853	2.735194563
854	2.73498038
855	2.734555949
856	2.733998731
857	2.73356825
858	2.732550747
859	2.731182662
860	2.730516248
861	2.72974766
862	2.729102767
863	2.72858045
864	2.728072728
865	2.727930334
866	2.727415505
867	2.727025068
868	2.725755846
869	2.725175899
870	2.724431823
871	2.72417571
872	2.723673946
873	2.722973628
874	2.722667613
875	2.721795636
876	2.721640864
877	2.720888794
878	2.7203419
879	2.719301496
880	2.718694208
881	2.717883793
882	2.717043033
883	2.716382688
884	2.715743333
885	2.715264423
886	2.71415658
887	2.713768659
888	2.713077365
889	2.712239016
890	2.71157533
891	2.71072933
892	2.710109414
893	2.709114504
894	2.708323721
895	2.707772993
896	2.707429415
897	2.707093637
898	2.706024357
899	2.705595703
900	2.704635992
901	2.704257016
902	2.703624911
903	2.703616702
904	2.703117119
905	2.702419582
906	2.701493156
907	2.700899163
908	2.699842576
909	2.699173988
910	2.698266408
911	2.697684157
912	2.696621139
913	2.696234554
914	2.695170845
915	2.694494397
916	2.693897367
917	2.692795129
918	2.692278326
919	2.69166343
920	2.690579858
921	2.690259546
922	2.689417642
923	2.6887351
924	2.68812495
925	2.687252018
926	2.686348297
927	2.685290941
928	2.68443837
929	2.683645139
930	2.682821607
931	2.682343253
932	2.681647072
933	2.681102654
934	2.680395631
935	2.679896231
936	2.679333916
937	2.6789514
938	2.678033271
939	2.677348717
940	2.676914332
941	2.675229572
942	2.674309202
943	2.673887557
944	2.673173924
945	2.672726517
946	2.672225948
947	2.671924597
948	2.671260956
949	2.670595917
950	2.670268879
951	2.669677275
952	2.668854624
953	2.668141726
954	2.667704567
955	2.667112127
956	2.666231206
957	2.66509209
958	2.664348571
959	2.663718075
960	2.662926186
961	2.661916908
962	2.660878477
963	2.660414302
964	2.659547103
965	2.65906527
966	2.658557975
967	2.657913872
968	2.657399751
969	2.656924402
970	2.656013689
971	2.656006328
972	2.655453353
973	2.654670387
974	2.653952785
975	2.653620179
976	2.653204168
977	2.652799631
978	2.652275082
979	2.651554505
980	2.650509934
981	2.649900058
982	2.649604022
983	2.648470706
984	2.648041851
985	2.647641712
986	2.647229566
987	2.646633595
988	2.645841579
989	2.645311732
990	2.644938048
991	2.644329341
992	2.643463724
993	2.642774407
994	2.641992913
995	2.641248587
996	2.640900632
997	2.6398555
998	2.639109566
999	2.638381563
